1726000,[Misc] Gift from Gavlan after spending 16000 souls
1752010,[Misc] Gift from Lucatiel after speaking to her the second time
1752020,[Misc] Gift from Lucatiel after speaking to her the third time
1754000,[Misc] Gift from Melentia after spending 10000 souls
1766000,[Misc] Gift from Carhillion when over 30INT
1769000,[Misc] Gift from Licia when over 30FTH
1753020,[Misc] Bell Keepers join
2004011,[Misc] Bell Keepers 1st rank reward
2004012,[Misc] Bell Keepers 2nd rank reward
2004013,[Misc] Bell Keepers 3rd rank reward
2005000,[Misc] Rat King covenant join
2005011,[Misc] Rat King covenant 1st rank reward
2005012,[Misc] Rat King covenant 2nd rank reward
2005013,[Misc] Rat King covenant 3rd rank reward
60006000,[Misc] Reward for killing Licia using the Crushed Eye Orb
60015000,[Misc] Full Soul of Nadalia
50000000,[Crows] First set of 10 drops (all active) for the Small Smooth and Silky Stone table at crows
50000001,[Crows] Second set of 10 drops (all active) for the Small Smooth and Silky Stone table at crows
50000002,[Crows] Third set of 10 drops (7 active) for the Small Smooth and Silky Stone table at crows
50000003,[Crows] Fourth set of 10 drops (none active) for the Small Smooth and Silky Stone table at crows
50000100,[Crows] First set of 10 drops (6 active) for the Smooth and Silky Stone table at crows
50000101,[Crows] Second set of 10 drops (all active) for the Smooth and Silky Stone table at crows
50000102,[Crows] Third set of 10 drops (7 active) for the Smooth and Silky Stone table at crows
50000103,[Crows] Fourth set of 10 drops (none active) for the Smooth and Silky Stone table at crows
50000200,[Crows] First set of 10 drops (none active) for the Petrified Something table at crows
50000201,[Crows] Second set of 10 drops (none active) for the Petrified Something table at crows
50000202,[Crows] Third set of 10 drops (7 active) for the Petrified Something table at crows
50000203,[Crows] Fourth set of 10 drops (none active) for the Petrified Something table at crows
50000300,[Crows] First set of 10 drops (none active) for the Prism Stone table at crows
50000301,[Crows] Second set of 10 drops (none active) for the Prism Stone table at crows
50000302,[Crows] Third set of 10 drops (none active) for the Prism Stone table at crows
50000303,[Crows] Fourth set of 10 drops (all active) for the Prism Stone table at crows
1705000,[Betwixt] Gift from the fire keepers after getting the King's Ring
1723000,[Betwixt] Gift from Milibeth after killing 3 hippos
10025010,[Betwixt] Wooden chest at the attic of Fire Keeper's cottage
10026000,[Betwixt] On the right side ledge before Fire Keeper's cottage
10026001,[Betwixt] On the right side ledge before Fire Keeper's cottage in NG+
10026020,[Betwixt] Guarded by hippo before Fire Keeper's cottage
10026030,[Betwixt] Under waterfall
10026031,[Betwixt] Under waterfall in NG+
10026040,[Betwixt] One ledge down from the crow nest
10026050,[Betwixt] Vanilla Cart Soul: Behind the wagon next to bonfire
10026060,[Betwixt] Behind a door in small alcove
10026070,[Betwixt] On path after the backstab tutorial
10026080,[Betwixt] Next to fog gate and archer
10026090,[Betwixt] Other side of the jumpable gap
10026100,[Betwixt] In the basilisk pit
60008100,[Betwixt] Pursuer drop
60008110,[Betwixt] Pursuer drop in NG+
1700000,[Majula] Vanilla Estus: Gift from the Emerald Herald
1704000,[Majula] Gift from Gilligan after buying the longest ladders
1741000,[Majula] Gift from Saulden after 100 deaths
1741010,[Majula] Gift from Saulden after bringing 4 people to Majula
1751010,[Majula] Gift from Cale after lighting all fires in the map
1761000,[Majula] Gift from Maughlin after spending 15000 souls and then speaking to him with no souls
1762000,[Majula] Gift from Chloanne after spending 20000 souls
1763000,[Majula] Gift from Rosabeth after unpetrifying her
1764000,[Majula] Gift from Lenigrast after spending 8000 souls on upgrades
2001000,[Majula] Way of Blue join
2001011,[Majula] Way of Blue 1st rank reward
2001012,[Majula] Way of Blue 2nd rank reward
2001013,[Majula] Way of Blue 3rd rank reward
2009000,[Majula] Company of Champions join
2009011,[Majula] Company of Champions 1st rank reward
2009012,[Majula] Company of Champions 2nd rank reward
2009013,[Majula] Company of Champions 3rd rank reward
10045000,[Majula] Wooden chest on the attic of Maughlin the Armorer
10045001,[Majula] Wooden chest on the attic of Maughlin the Armorer in NG+1
10045002,[Majula] Wooden chest on the attic of Maughlin the Armorer in NG+2
10045010,[Majula] Wooden chest on the attic of Majula mansion
10045040,[Majula] Wooden chest in Lenigrast's workshop
10045060,[Majula] Metal chest on the way towards forest
10045070,[Majula] Metal chest in staircase towards Heide's Tower of Flame
10045600,[Majula] Metal chest in Cale's house basement
10046000,[Majula] Majula well
10046010,[Majula] Under the tree on the way from Things Betwixt
10046020,[Majula] Drop from cliff (near Vanilla binos)
10046030,[Majula] Vanilla Binos: Drop from cliff and end of the path
10046040,[Majula] Next to Lenigrast's workshop
10046070,[Majula] Corpse in Cale's house basement
10046100,[Majula] Library room in Cale's house
10046110,[Majula] Next to Champion's covenant
10046120,[Majula] Tent next to cat Shalquoir
10296000,[Majula] In small room next to petrified Rosabeth
10296010,[Majula] Corpse next to Benhart
309600,[FOFG] Last Giant drop
318000,[FOFG] Pursuer (in the proper arena) drop
60008000,[FOFG] Pursuer (on the platform) drop
10105020,[FOFG] Wooden chest under the bridge after the drawgate
10105021,[FOFG] Wooden chest under the bridge after the drawgate in NG+
10106110,[FOFG] Corpse in the watery cave in the beginning of the area
10106000,[FOFG] At the end of the small stream
10106230,[FOFG] A corpse in the circular room before the first fog gate
10106260,[FOFG] A corpse in the circular room before the first fog gate
10106280,[FOFG] A corpse in the circular room before the first fog gate
10106580,[FOFG] A corpse in the circular room before the first fog gate
10106590,[FOFG] A corpse in the circular room before the first fog gate
10106200,[FOFG] On upper ledge of the circular room before the first fog gate
10106170,[FOFG] On higher level requiring a jump from area before first fog gate
1744020,[FOFG] Gift from Pate after escaping the gate trap room
1751000,[FOFG] Gift from Cale when talking to him
10105010,[FOFG] Wooden chest in upper floor of cardinal tower
10105070,[FOFG] Metal chest in upper floor of cardinal tower
10106050,[FOFG] Drop onto tree branch from upper floor of Cardinal Tower
10105030,[FOFG] Metal chest in the side room under the ballista-trap
10105040,[FOFG] Trapped wooden chest under the ballista-trap
10105041,[FOFG] Trapped wooden chest under the ballista-trap in NG+
10105050,[FOFG] Wooden chest in a side corridor on the way to the king's door
10105080,[FOFG] First metal chest behind Pharros' contraption under the ballista-trap
10105090,[FOFG] Second metal chest behind Pharros' contraption under the ballista-trap
10105100,[FOFG] Metal chest in the guard room over the barrel courtyard
10105110,[FOFG] Metal chest in the top-level of Salamander pit
10105120,[FOFG] Wooden chest near Soldier's Rest bonfire
10105130,[FOFG] Vanilla fire longsword: Metal chest in the tunnel where you get fireballed by a salamander
10105140,[FOFG] Metal chest behind a illusory wall after the gate trap room
10105150,[FOFG] Wooden chest next to king's door
10106010,[FOFG] First corpse at rooftop near Soldier's Rest bonfire
10106030,[FOFG] Next to turtle in seashore hall
10106060,[FOFG] Behind a shelf in small side room after the first fog gate
10106061,[FOFG] Behind a shelf in small side room after the first fog gate in NG+
10106270,[FOFG] On ledge near the scaffolding in front of Cardinal Tower
10106070,[FOFG] In the beginning of the dark skeleton tunnel
10106080,[FOFG] At the end of the dark skeleton tunnel
10106090,[FOFG] Above the door leading to Pursuer arena
10106100,[FOFG] On the huge sword
10106120,[FOFG] In the small stone house near Soldier's Rest bonfire
60002000,[FOFG] Vanilla Seed of a Tree of Giants: on the tree near Solider's Rest bonfire
10106130,[FOFG] Next to ruined house by water near Soldier's Rest
10106140,[FOFG] Behind the soldier that stands on tree root and throws fire bombs just before Cardinal Tower
10106150,[FOFG] Just before Cale on boulder path
10106160,[FOFG] At corridor after the gate trap
10106180,[FOFG] Behind the stairs outside the ballista trap room
10106190,[FOFG] Behind the giant-tree in the middle courtyard
10106210,[FOFG] On a giant tree root
10106220,[FOFG] On the wall after climbing the ladder by Memory of Vammar
10106240,[FOFG] In the round tower where you drop from a tree root
10106250,[FOFG] Lower end of dead end stairs near the seaside fog gate
10106300,[FOFG] On the other end of the small bridge going over the fire area
10106310,[FOFG] In small tunnel guarded by turtle
10106320,[FOFG] On ledge next to Cale
10106321,[FOFG] On ledge next to Cale in NG+
10106340,[FOFG] On floor in the salamander pit
10106350,[FOFG] First corpse in the lower fire area
10106360,[FOFG] Second corpse in the lower fire area
10106370,[FOFG] Just before pursuer arena
10106371,[FOFG] Just before pursuer arena in NG+
10106380,[FOFG] On topmost ledge of the circular room
10106290,[FOFG] Vanilla Drangleic set: In a crevasse in floor near the eagles nest
10106390,[FOFG] Behind corner outside cardinal tower
10106400,[FOFG] In front of the pile of garbage that blocks the big gate to the fire area
10106410,[FOFG] Next to upper level of the elevator
10106420,[FOFG] On scaffolding near the Place Unbeknownst bonfire
10106430,[FOFG] Next to portcullis near Soldier's rest bonfire
10106440,[FOFG] In the middle of the ballista trap area
10106450,[FOFG] In the middle of the ballista trap area
10106460,[FOFG] First corpse in the upper fire area
10106470,[FOFG] Second corpse in the upper fire area
10106480,[FOFG] Third corpse in the upper fire area
10106490,[FOFG] Behind the wagon at Cardinal Tower upper floor
10106500,[FOFG] On wooden floor boards above the guard room over the courtyard
10106510,[FOFG] Corpse next to king's door
10106520,[FOFG] Second corpse on the platform where you meet pursuer for first time
10106530,[FOFG] Third corpse on the platform where you meet pursuer for first time
10106540,[FOFG] Fourth corpse on the platform where you meet pursuer for first time
10106550,[FOFG] First corpse on the platform where you meet pursuer for first time
10106560,[FOFG] At the hole in the wall before cardinal tower
10106570,[FOFG] Behind a table at cardinal tower upper floor
10106600,[FOFG] Under a tree above the small tunnel guarded by turtle
10106610,[FOFG] Second corpse at rooftop near Soldier's Rest bonfire
10106620,[FOFG] Third corpse at rooftop near Soldier's Rest bonfire
10106630,[FOFG] Fourth corpse at rooftop near Soldier's Rest bonfire
611000,[Heides] Dragonrider boss drop
625000,[Heides] Old Dragonslayer boss drop
10305010,[Heides] Metal chest behind petrified hollow after Dragonrider
10305020,[Heides] Vanilla bone dust: Metal chest guarded by syan soldier after Dragonrider
10306000,[Heides] In alcove
10306010,[Heides] Corpse on railing
10306020,[Heides] In alcove
10306030,[Heides] On railing behind petrified hollow
10315000,[Heides] Metal chest before Dragonrider
10315001,[Heides] Metal chest before Dragonrider in NG+
10316010,[Heides] On the railing near first bonfire
10316040,[Heides] Under the spiral staircase after Dragonrider
10316041,[Heides] Under the spiral staircase after Dragonrider in NG+
10316050,[Heides] On the ledge on the way towards the cathedral
10316090,[Heides] In the waterway from Majula
10316100,[Heides] On a corpse near the first lever
10316101,[Heides] On a corpse near the first lever in NG+
2002000,[Heides] Blue sentinels join
2002011,[Heides] Blue sentinels 1st rank reward
2002012,[Heides] Blue sentinels 2nd rank reward
2002013,[Heides] Blue sentinels 3rd rank reward
